"","city","lon","lat"
"1","Singapore",103.8,1.36667
"2","Shanghai",121.45806,31.22222
"3","New York",-74.005973,40.714269
"4","Mountain View",-122.08385,37.38605
"5","Sunnyvale",-122.03635,37.36883
"6","Dublin",-6.27113,53.38046
"7","Xinyi District",110.94746,22.37303
"8","Seattle",-122.33207,47.60621
"9","Amsterdam",4.88969,52.37403
"10","Frankfurt",8.67185,50.11035
"11","Zürich",8.55,47.36667
"12","London",-0.1278328,51.5072648
"13","München",11.57549,48.13743
"14","Berlin",13.41377,52.5233
"15","Hamburg",10.01534,53.57532
"16","San Francisco",-122.41942,37.77493
"17","Milan",9.18951,45.46427
"18","Warszawa",21.01178,52.22977
"19","Irvine",-117.82311,33.66946
"20","Paris",2.3488,48.85341
"21","Kirkland",-122.20874,47.68149
"22","Cambridge",0.124862,52.2033051
"23","Sydney",151.20732,-33.86785
"24","Waterloo",-80.51639,43.4668
"25","Dubai - United Arab Emirates",55.30472,25.25817
"26","Pittsburgh",-79.99589,40.44062
"27","Chicago",-87.65005,41.85003
"28","Bucharest",26.10626,44.43225
"29","Stockholm",18.0649,59.33258
"30","Tokyo",139.69171,35.6895
"31","Hyderabad",78.45636,17.38405
"32","Seoul",126.97783,37.56826
"33","Perth",115.8614,-31.95224
"34","Taipei",121.53185,25.04776
"35","Beijing",116.39723,39.9075
"36","MG",47,-20
"37","Milano",9.18951,45.46427
"38","San Bruno",-122.41108,37.63049
"39","Istanbul",28.94966,41.01384
"40","São Paulo",-46.63611,-23.5475
"41","Manila",120.9822,14.6042
"42","Groningen",6.56479,53.22368
"43","Bengaluru",77.59369,12.97194
"44","Palo Alto",-122.14302,37.44188
"45","Tel Aviv-Yafo",34.78057,32.08088
"46","The Dalles",-121.17868,45.59456
"47","Mumbai",72.88261,19.07283
"48","Hong Kong",114.15769,22.28552
"49","Minneapolis",-93.26384,44.97997
"50","Oslo",10.74609,59.91273
"51","Mexico City",-99.12766,19.42847
"52","Washington",-120.50147,47.50012
"53","Boulder",-105.27055,40.01499
"54","Wrocław",17.03333,51.1
"55","Ann Arbor",-83.74088,42.27756
"56","Austin",-97.74306,30.26715
"57","Melbourne",144.96332,-37.814
"58","Helsinki",24.93545,60.16952
"59","Johannesburg",28.04363,-26.20227
"60","København",12.56553,55.67594
"61","Etterbeek",4.39024,50.83316
"62","Montreal",-73.58781,45.50884
"63","Los Angeles",-118.24368,34.05223
"64","Bogotá",-74.08175,4.60971
"65","Portland",-122.67621,45.52345
"66","Atlanta",-84.38798,33.749
"67","Moscow",37.5,55.75
"68","Vienna",16.37208,48.20849
"69","Jakarta",106.84513,-6.21462
"70","Dallas",-96.80667,32.78306
"71","Reston",-77.3411,38.96872
"72","Moskva",37.5,55.75
"73","Salt Lake City",-111.89105,40.76078
"74","Toronto",-79.4163,43.70011
"75","Columbus",-82.99879,39.96118
"76","Prague",14.42076,50.08804
"77","Zagreb",15.97798,45.81444
"78","Athens",23.71622,37.97945
"79","Budapest",19.03991,47.49801
"80","Madrid",-3.70256,40.4165
"81","Bangkok",100.50144,13.75398
"82","Bratislava",17.10674,48.14816
"83","Vilnius",25.2798,54.68916
"84","Nairobi",36.81667,-1.28333
"85","Buenos Aires",-60,-36
"86","Kyiv",30.5238,50.45466
"87","Lisbon",-9.13333,38.71667
"88","Nigeria",8,10
"89","Kraków",19.93658,50.06143
